Date,Region,Mean Temperature_lagged12,Total Precipitation (mm)_lagged12,No days with precipitation 1mm or more_lagged12,Heating Degree Days_lagged12,Cooling Degree Days_lagged12,Region population_lagged12,w/m_ratio_lagged12,Boomers_proportion_lagged12,Gen_Alpha_proportion_lagged12,GenX_proportion_lagged12,GenZ_proportion_lagged12,Silent_proportion_lagged12,Millenials_proportion_lagged12,CPI_lagged12,Total employment_lagged12,% employees in Accommodation and food services_lagged12,% employees in Agriculture_lagged12,"% employees in Business, building and other support services_lagged12",% employees in Construction_lagged12,% employees in Educational services_lagged12,"% employees in Finance, insurance, real estate, rental and leasing_lagged12","% employees in Forestry, fishing, mining, quarrying, oil and gas_lagged12",% employees in Health care and social assistance_lagged12,"% employees in Information, culture and recreation_lagged12",% employees in Manufacturing_lagged12,% employees in Other services (except public administration)_lagged12,"% employees in Professional, scientific and technical services_lagged12",% employees in Public administration_lagged12,% employees in Transportation and warehousing_lagged12,% employees in Utilities_lagged12,% employees in Wholesale and retail trade_lagged12,GDP_per_capita_lagged12,New Housing Price Index - Total (house and land)_lagged12,WFH proportion_lagged12,Total immigrant_lagged12,% immigrant_South Asian_lagged12,% immigrant_Chinese_lagged12,% immigrant_Black_lagged12,% immigrant_Filipino_lagged12,% immigrant_Arab_lagged12,% immigrant_Latin American_lagged12,% immigrant_Southeast Asian_lagged12,% immigrant_West Asian_lagged12,% immigrant_Korean_lagged12,% immigrant_Japanese_lagged12,% immigrant_Visible minority_lagged12,% immigrant_Multiple visible minorities_lagged12,% immigrant_Other Population_lagged12
1/1/19,Alberta,-10.34736842,12.50243902,3.497560976,802.6885167,0,4263957,1.016472616,0.155596106,0.189188213,0.195753998,0.197833412,0.030404729,0.231045093,138.9,2270600,0.062846825,0.023650137,0.035981679,0.103056461,0.064564432,0.050339117,0.063683608,0.117898353,0.03457236,0.056372765,0.049854664,0.074033295,0.045670748,0.06161367,0.007971461,0.147890425,74484.40734,100.1,7.5,4082138.966,0.006586248,0.01839854,0.005906146,0.004796506,0.004187994,0.001825536,0.001073845,0.001539177,0.001467588,0.000787486,0.000393743,0.000608512,0.952428679
1/1/19,Atlantic,-6.367256637,119.6153153,12.36036036,684.7575221,0,2405219,0.970233994,0.238245619,0.142375109,0.225010163,0.17060323,0.045055796,0.178435051,133.9638093,1104300,0.071447976,0.014036041,0.037489813,0.07525129,0.077786833,0.047179209,0.030064294,0.159920312,0.034048719,0.071991307,0.043557004,0.04844698,0.067825772,0.047088653,0.008602735,0.165263063,44843.95111,100.3,5.834935607,2334674.786,0.008702641,0.009517309,0.024126296,0.003743071,0.008928326,0.001855022,0.001315579,0.001700896,0.001700896,0.000765128,0.000699074,0.001524751,0.935421013
1/1/19,British Columbia,0.35154185,192.2777778,16.84444444,495.3907489,0,4974712,0.982149526,0.206196043,0.143182236,0.210618686,0.194629772,0.043923107,0.201154197,126.1,2581599,0.074527454,0.009800128,0.037612348,0.098040013,0.064339969,0.06468859,0.018283242,0.125464877,0.049852436,0.071273656,0.046908912,0.081461141,0.040749938,0.052951678,0.004996903,0.159048714,53761.69625,107.8,8.3,4744269.127,0.003469276,0.005371562,0.009573012,0.002702888,0.00405091,0.001758588,0.001683317,0.001005885,0.002306008,0.000314767,0.000410565,0.000923772,0.966429451
1/1/19,Manitoba/Saskatchewan,-15.62589928,13.01768707,3.414965986,974.1093525,0,2496564,1.010791434,0.174404623,0.191862148,0.188540336,0.202372565,0.0410098,0.201456165,134.1924813,1215700,0.065558937,0.052891338,0.028296455,0.081599079,0.076416879,0.052315538,0.025417455,0.147404787,0.035370568,0.073784651,0.044089825,0.045570453,0.052151024,0.053960681,0.012667599,0.15250473,56818.73205,101.3613607,8.274563427,2364231.571,0.086874865,0.056980551,0.047402801,0.023536208,0.015891302,0.014797824,0.010108253,0.011680127,0.006716054,0.002328172,0.007397968,0.009710659,0.706575216
1/1/19,Ontario,-10.21096774,55.25337838,9.033783784,791.9780645,0,14199811,0.977155561,0.189106514,0.159110938,0.211402017,0.200853774,0.043122842,0.196189072,133.2,7178100,0.063902704,0.008762765,0.042546078,0.074058595,0.06893189,0.078070799,0.003928616,0.116493222,0.044593973,0.113860214,0.039787688,0.086123069,0.049024115,0.048007133,0.0065059,0.15540324,55086.80967,104.6,7.1,13653453.63,0.033900218,0.018167164,0.024453937,0.06433465,0.004054163,0.007975337,0.006907391,0.002168131,0.003526235,0.001491094,0.002579189,0.005222858,0.825219634
1/1/19,Quebec,-13.14512821,80.23351648,10.84065934,932.3005128,0,8338883,0.993750565,0.212451223,0.159063765,0.207954834,0.176755295,0.045711845,0.1978049,127.8,4245000,0.066737338,0.013074205,0.045229682,0.058138987,0.067184923,0.055641932,0.008339223,0.134040047,0.043250883,0.119811543,0.042968198,0.075995289,0.054911661,0.049964664,0.005371025,0.1593404,47356.10644,101.4,6.7,8143155.868,0.027985746,0.014515971,0.013941497,0.030208912,0.004016646,0.003913894,0.005361755,0.001928924,0.001756115,0.000892069,0.001074219,0.002629502,0.89177475
1/2/19,Alberta,-14.93381643,16.2645,4.33,805.4140097,0,4268119,1.016472616,0.155596106,0.189188213,0.195753998,0.197833412,0.030404729,0.231045093,139.7,2267400,0.061215489,0.024036341,0.035944253,0.100511599,0.065890447,0.050321955,0.064743759,0.120666843,0.034180118,0.056937461,0.048160889,0.074534709,0.0456911,0.061391903,0.007982711,0.147790421,75218.57408,99.8,7.5,4082138.966,0.003469276,0.005371562,0.009573012,0.002702888,0.00405091,0.001758588,0.001683317,0.001005885,0.002306008,0.000314767,0.000410565,0.000923772,0.966429451
1/2/19,Atlantic,-5.228318584,100.3272727,12.04545455,592.7769912,0,2405652,0.970230965,0.238243392,0.142376416,0.225007981,0.170605705,0.045056627,0.17843483,134.8134893,1111500,0.072064777,0.013045434,0.037966712,0.078092668,0.076923077,0.045434098,0.029239766,0.159604139,0.03382816,0.071255061,0.042735043,0.049212776,0.067566352,0.047683311,0.00908682,0.166261808,45102.13876,100.3,5.835707203,2334674.786,0.011340846,0.012492067,0.040076807,0.004382675,0.02683337,0.016812599,0.007886555,0.004067564,0.001011242,0.000573727,0.001235962,0.00289249,0.870394096
1/2/19,British Columbia,-1.968722467,106.0433036,12.26339286,513.515859,0,4980380,0.982149526,0.206196043,0.143182236,0.210618686,0.194629772,0.043923107,0.201154197,127,2582600,0.074227523,0.010144815,0.038294742,0.097072717,0.064005266,0.063424456,0.018585921,0.126074499,0.04921397,0.070510338,0.048478278,0.083171997,0.040463099,0.05266011,0.005149849,0.158522419,53933.77026,107.8,8.3,4744269.127,0.086874865,0.056980551,0.047402801,0.023536208,0.015891302,0.014797824,0.010108253,0.011680127,0.006716054,0.002328172,0.007397968,0.009710659,0.706575216
1/2/19,Manitoba/Saskatchewan,-18.42624113,6.043918919,1.986486486,927.3666667,0,2497858,1.010790733,0.174404567,0.191861588,0.188540686,0.202373565,0.041009512,0.201455722,134.4921377,1212200,0.065253259,0.052549084,0.027965682,0.080432272,0.076472529,0.053044052,0.025325854,0.149067811,0.034730243,0.073337733,0.043309685,0.04553704,0.053456525,0.053456525,0.01262168,0.153440026,57189.70058,101.1848143,8.276549331,2364231.571,0.027985746,0.014515971,0.013941497,0.030208912,0.004016646,0.003913894,0.005361755,0.001928924,0.001756115,0.000892069,0.001074219,0.002629502,0.89177475
